likes	coms	favs	size
18	14	13	122
45	14	10	672
55	120	9	4592
79	85	20	518
232	490	35	1154
134	532	66	7201
61	100	6	1158
165	167	41	611
528	519	90	1255
64	48	12	336
192	149	23	1623
366	372	47	1752
461	79	61	281
236	146	75	1380
215	32	25	204
39	63	6	1521
83	195	17	5309
320	106	63	2191
174	87	59	8647
81	167	12	1981
56	26	19	515
165	80	16	653
87	161	11	1136
278	172	116	4310
45	66	12	1093
225	51	14	646
11	9	10	429
519	120	155	1620
160	54	42	2610
65	84	13	2701
151	132	19	922
210	187	56	931
86	122	10	2855
196	108	38	1302
476	244	85	829
135	164	12	1257
81	45	18	1181
38	44	13	973
353	185	81	3119
242	264	57	418
180	74	17	624
284	270	93	4845
1014	664	280	7491
98	214	17	1585
224	61	33	1744
155	126	20	2152
92	44	11	1380
104	133	11	1928
71	69	18	664
131	61	66	5505
225	36	23	303
328	125	111	8033
518	213	61	2022
573	832	87	773
64	278	5	893
0	143	2	1238
59	134	54	816
217	368	17	1179
188	252	21	761
101	226	22	1956
401	366	169	8079
191	232	27	782
356	1206	122	9629
126	159	13	1491
102	512	15	796
83	144	10	2118
241	260	78	4223
244	33	31	983
51	47	17	1100
98	183	15	884
90	91	14	1119
123	88	12	1366
211	88	45	238
175	148	64	2185
116	104	12	891
118	538	58	10092
81	147	14	577
112	123	14	1967
107	113	26	1890
250	92	34	711
64	17	9	650
182	207	23	4213
248	42	14	847
669	195	64	1340
50	53	6	667
85	55	30	706
122	79	11	1457
137	80	30	3172
28	8	6	219
119	252	17	2230
91	48	15	1928
115	60	14	470
183	77	21	2559
67	181	7	591
106	69	25	1551
102	91	16	2348
183	106	30	1882
104	193	44	2282
225	154	59	1066
387	115	71	227
934	1145	666	24162
214	1194	72	5920
171	186	20	1580
338	401	44	1430
158	322	13	1272
39	187	45	4285
49	28	15	2148
343	314	32	4314
151	87	37	1702
1140	579	136	6211
590	412	187	18464
86	241	18	849
179	15	13	1173
167	245	48	8638
98	216	12	1738
46	28	18	435
14	10	6	262
101	100	22	1111
36	108	7	2683
115	51	53	2058
26	59	6	1538
260	127	34	2186
248	116	26	3036
250	285	18	698
57	63	8	612
43	16	8	1428
64	105	17	644
61	149	11	1352
229	93	30	1133
81	59	14	1244
63	43	11	2466
48	54	15	2455
86	247	9	602
126	69	10	558
90	61	12	1083
260	440	60	1273
1180	1071	201	364
207	178	41	3262
356	0	18	1790
119	130	14	1639
54	73	25	2809
124	172	31	6981
77	88	22	2139
274	512	42	860
120	242	21	2584
282	184	53	1760
61	49	10	3968
310	187	40	2291
102	160	19	1257
195	55	48	1302
684	172	168	649
64	118	4	1147
161	258	46	744
444	505	175	6530
33	39	9	733
42	101	4	1547
112	76	15	2385
77	54	8	1381
153	125	32	306
229	165	51	1683
117	1060	53	2858
36	32	9	1505
124	142	13	1802
126	32	45	399
115	54	16	1523
53	20	65	7049
184	873	22	1479
49	29	8	1999
75	171	19	1764
247	267	31	2194
46	27	58	641
56	31	21	2847
77	110	12	2154
191	143	44	5127
203	367	20	1606
305	181	16	965
56	196	14	1116
821	482	327	17165
85	108	11	1737
96	168	15	1067
155	222	49	121
217	238	27	1664
154	207	14	235
78	28	13	1428
249	438	27	1900
562	425	79	779
94	54	69	4657
61	40	5	815
114	81	57	8362
190	313	19	2817
81	214	14	1725
143	166	24	1805
80	109	15	811
254	260	17	636
